Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
peacock-blue-kanchipuram,Peacock Blue Pure Zari Kanchipuram Silk Saree,"<p>A kanchipuram silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, kanchipuram, wedding",TRUE,Title,Default Title,PEACOCK-BLUE-KANCHIPURAM,continue,manual,28500,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/peacock-blue-kanchipuram-1.jpg,1,Peacock Blue Pure Zari Kanchipuram Silk Saree,active
peacock-blue-kanchipuram,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/peacock-blue-kanchipuram-2.jpg,2,Peacock Blue Pure Zari Kanchipuram Silk Saree — border detail,
deep-maroon-kanchipuram,Deep Maroon Bridal Kanchipuram Silk Saree,"<p>A kanchipuram silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, kanchipuram, wedding",TRUE,Title,Default Title,DEEP-MAROON-KANCHIPURAM,continue,manual,46800,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/deep-maroon-kanchipuram-1.jpg,1,Deep Maroon Bridal Kanchipuram Silk Saree,active
deep-maroon-kanchipuram,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/deep-maroon-kanchipuram-2.jpg,2,Deep Maroon Bridal Kanchipuram Silk Saree — border detail,
midnight-kanchipuram,Midnight Blue Kanchipuram Bridal Silk Saree,"<p>A kanchipuram silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, kanchipuram, wedding",TRUE,Title,Default Title,MIDNIGHT-KANCHIPURAM,continue,manual,52000,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/midnight-kanchipuram-1.jpg,1,Midnight Blue Kanchipuram Bridal Silk Saree,active
midnight-kanchipuram,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/midnight-kanchipuram-2.jpg,2,Midnight Blue Kanchipuram Bridal Silk Saree — border detail,
emerald-banarasi,Emerald Green Banarasi Katan Silk Saree,"<p>A banarasi silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, banarasi, wedding",TRUE,Title,Default Title,EMERALD-BANARASI,continue,manual,18900,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/emerald-banarasi-1.jpg,1,Emerald Green Banarasi Katan Silk Saree,active
emerald-banarasi,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/emerald-banarasi-2.jpg,2,Emerald Green Banarasi Katan Silk Saree — border detail,
ivory-banarasi-tissue,Ivory Gold Banarasi Tissue Saree,"<p>A banarasi silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, banarasi, wedding",TRUE,Title,Default Title,IVORY-BANARASI-TISSUE,continue,manual,22400,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/ivory-banarasi-tissue-1.jpg,1,Ivory Gold Banarasi Tissue Saree,active
ivory-banarasi-tissue,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/ivory-banarasi-tissue-2.jpg,2,Ivory Gold Banarasi Tissue Saree — border detail,
mustard-mysore-crepe,Mustard Mysore Crepe Silk Saree,"<p>A mysore crepe saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, mysore-crepe, festive",TRUE,Title,Default Title,MUSTARD-MYSORE-CREPE,continue,manual,7450,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/mustard-mysore-crepe-1.jpg,1,Mustard Mysore Crepe Silk Saree,active
mustard-mysore-crepe,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/mustard-mysore-crepe-2.jpg,2,Mustard Mysore Crepe Silk Saree — border detail,
rose-mysore-crepe,Rose Pink Mysore Crepe Silk Saree,"<p>A mysore crepe saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, mysore-crepe, festive",TRUE,Title,Default Title,ROSE-MYSORE-CREPE,continue,manual,6980,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/rose-mysore-crepe-1.jpg,1,Rose Pink Mysore Crepe Silk Saree,active
rose-mysore-crepe,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/rose-mysore-crepe-2.jpg,2,Rose Pink Mysore Crepe Silk Saree — border detail,
indigo-soft-silk,Indigo Soft Silk Saree,"<p>A soft silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, soft-silk, festive",TRUE,Title,Default Title,INDIGO-SOFT-SILK,continue,manual,9250,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/indigo-soft-silk-1.jpg,1,Indigo Soft Silk Saree,active
indigo-soft-silk,,,,,,,,,,,,,,,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/indigo-soft-silk-2.jpg,2,Indigo Soft Silk Saree — border detail,
teal-soft-silk,Teal Soft Silk Saree with Zari Border,"<p>A soft silk saree, handwoven with a contrast zari border and pallu. Comes with an unstitched blouse piece.</p><p><em>Placeholder copy and imagery for layout review.</em></p>",Sri Chakravarthy,Saree,"saree, soft-silk, festive",TRUE,Title,Default Title,TEAL-SOFT-SILK,continue,manual,10400,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/teal-soft-silk-1.jpg,1,Teal Soft Silk Saree with Zari Border,active
