Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
rose-pink-green-border,Rose Pink Silk Saree with Green Border,"<p>Rose Pink Silk Saree with Green Border. Handwoven soft silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, soft-silk, festive",TRUE,Title,Default Title,ROSEPINKGREENBORDER,continue,manual,8450,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-rose-pink-green-border-1.jpg,1,Rose Pink Silk Saree with Green Border,active
violet-gold-zari,Violet Silk Saree with Gold Zari Border,"<p>Violet Silk Saree with Gold Zari Border. Handwoven kanchipuram silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, kanchipuram, wedding",TRUE,Title,Default Title,VIOLETGOLDZARI,continue,manual,24500,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-violet-gold-zari-1.jpg,1,Violet Silk Saree with Gold Zari Border,active
chocolate-brown-pallu,Chocolate Brown Silk Saree with Woven Pallu,"<p>Chocolate Brown Silk Saree with Woven Pallu. Handwoven tussar silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, tussar, festive",TRUE,Title,Default Title,CHOCOLATEBROWNPALLU,continue,manual,11200,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-chocolate-brown-pallu-1.jpg,1,Chocolate Brown Silk Saree with Woven Pallu,active
deep-brown-zari,Deep Brown Silk Saree with Zari Border,"<p>Deep Brown Silk Saree with Zari Border. Handwoven soft silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, soft-silk, everyday",TRUE,Title,Default Title,DEEPBROWNZARI,continue,manual,7900,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-deep-brown-zari-1.jpg,1,Deep Brown Silk Saree with Zari Border,active
sky-blue-floral,Sky Blue Silk Saree with Floral Border,"<p>Sky Blue Silk Saree with Floral Border. Handwoven organza with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, organza, festive",TRUE,Title,Default Title,SKYBLUEFLORAL,continue,manual,6480,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-sky-blue-floral-1.jpg,1,Sky Blue Silk Saree with Floral Border,active
maroon-contrast-border,Maroon Silk Saree with Contrast Border,"<p>Maroon Silk Saree with Contrast Border. Handwoven kanchipuram silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, kanchipuram, wedding",TRUE,Title,Default Title,MAROONCONTRASTBORDER,continue,manual,26800,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-maroon-contrast-border-1.jpg,1,Maroon Silk Saree with Contrast Border,active
red-blue-striped,Red and Blue Striped Silk Saree,"<p>Red and Blue Striped Silk Saree. Handwoven pochampally ikat with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, ikat, everyday",TRUE,Title,Default Title,REDBLUESTRIPED,continue,manual,9250,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-red-blue-striped-1.jpg,1,Red and Blue Striped Silk Saree,active
bronze-teal-border,Bronze Silk Saree with Teal Border,"<p>Bronze Silk Saree with Teal Border. Handwoven kanchipuram silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, kanchipuram, wedding",TRUE,Title,Default Title,BRONZETEALBORDER,continue,manual,28900,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-bronze-teal-border-1.jpg,1,Bronze Silk Saree with Teal Border,active
mustard-navy-border,Mustard Silk Saree with Navy Border,"<p>Mustard Silk Saree with Navy Border. Handwoven gadwal silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, gadwal, festive",TRUE,Title,Default Title,MUSTARDNAVYBORDER,continue,manual,12400,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-mustard-navy-border-1.jpg,1,Mustard Silk Saree with Navy Border,active
orange-silk,Orange Silk Saree,"<p>Orange Silk Saree. Handwoven soft silk with a contrast border and pallu, finished with an unstitched blouse piece.</p><p><em>Description, weave and price are placeholders pending the client's own copy.</em></p>",Sri Chakravarthy,Saree,"saree, soft-silk, festive",TRUE,Title,Default Title,ORANGESILK,continue,manual,6950,TRUE,TRUE,https://sri-chakravarty-mall.myshopify.com/cdn/shop/t/4/assets/saree-orange-silk-1.jpg,1,Orange Silk Saree,active
